kubectl get pods -n xenia-stg -o wide
NAME                            READY   STATUS      RESTARTS   AGE     IP               NODE                                           NOMINATED NODE   READINESS GATES
config-manager-28961525-9ncbb   0/1     Completed   0          3d9h    100.100.18.111   ip-100-100-24-129.eu-west-1.compute.internal   <none>           <none>
config-manager-28965845-dkmjz   0/1     Completed   0          9h      100.100.31.170   ip-100-100-24-129.eu-west-1.compute.internal   <none>           <none>
config-manager-tecrp-g28p9      0/1     Completed   0          9m12s   100.100.47.38    ip-100-100-46-4.eu-west-1.compute.internal     <none>           <none>
mongodb-backup-28964280-9lfqk   0/1     Completed   0          35h     100.100.31.153   ip-100-100-24-129.eu-west-1.compute.internal   <none>           <none>
mongodb-backup-28965720-p75fx   0/1     Completed   0          11h     100.100.26.233   ip-100-100-24-129.eu-west-1.compute.internal   <none>           <none>
xenia-56b6dcb558-6hdql          2/2     Running     0          3d21h   100.100.22.196   ip-100-100-31-113.eu-west-1.compute.internal   <none>           <none>
xenia-56b6dcb558-sr4jr          2/2     Running     0          3d22h   100.100.38.210   ip-100-100-35-194.eu-west-1.compute.internal   <none>           <none>
xenia-stg-mongodb-0             3/3     Running     0          73d     100.100.32.141   ip-100-100-41-106.eu-west-1.compute.internal   <none>           <none>
xenia-stg-mongodb-1             3/3     Running     0          73d     100.100.62.149   ip-100-100-58-211.eu-west-1.compute.internal   <none>           <none>
xenia-stg-mongodb-2             3/3     Running     0          73d     100.100.22.110   ip-100-100-17-161.eu-west-1.compute.internal   <none>           <none>
